split;reason;text;value
0;;"Tirsdag den 20. februar 2018 (D)

60. møde";
81;Time;"Dagsorden
1) HØJTIDELIGHED, I ANLEDNING AF AT H.K.H. PRINS
HENRIK ER AFGÅET VED DØDEN.
2) Fortsættelse af forespørgsel nr. F 14 [afstemning]:
Forespørgsel til sundhedsministeren om, hvorvidt regionernes
varetagelse af sundhedsområdet er tilfredsstillende.
Af Liselott Blixt (DF) og Karina Adsbøl (DF).
(Anmeldelse 07.12.2017. Fremme 12.12.2017. Forhandling
08.02.2018. Forslag til vedtagelse nr. V 38 af Liselott Blixt (DF), Jane Heitmann (V), May-Britt Kattrup (LA) og Brigitte Klintskov Jerkel (KF). Forslag til vedtagelse nr. V 39 af Flemming Møller Mortensen (S), Pernille Schnoor (ALT), Marlene Borst Hansen (RV) og
Kirsten Normann Andersen (SF). Forslag til vedtagelse nr. V 40 af
Stine Brix (EL)).
3) 3. behandling af lovforslag nr. L 91:
Forslag til lov om ændring af straffeloven. (Skærpelse af straffen for
vidnetrusler og visse former for hærværk).
Af justitsministeren (Søren Pape Poulsen).
(Fremsættelse 15.11.2017. 1. behandling 24.11.2017. Betænkning
01.02.2018. 2. behandling 08.02.2018).
4) 3. behandling af lovforslag nr. L 111:
Forslag til lov om ændring af retsplejeloven. (Begrænsning af surrogatfængsling i eget hjem).
Af justitsministeren (Søren Pape Poulsen).
(Fremsættelse 29.11.2017. 1. behandling 12.12.2017. Betænkning
01.02.2018. 2. behandling 08.02.2018).
5) 3. behandling af lovforslag nr. L 95 A:
Forslag til lov om ændring af udlændingeloven. (Forlængelse af perioden for økonomisk sikkerhed i ægtefællesammenføringssager).
Af udlændinge- og integrationsministeren (Inger Støjberg).
(2. behandling 06.02.2018. Lovforslaget optrykt efter 2. behandling).
6) 3. behandling af lovforslag nr. L 95 B:
Forslag til lov om ændring af udlændingeloven. (Ophævelse af den
særlige, lette adgang til domstolsprøvelse i sager om familiesammenføring med børn).
Af udlændinge- og integrationsministeren (Inger Støjberg).
(2. behandling 06.02.2018. Lovforslaget optrykt efter 2. behandling).
7) 3. behandling af lovforslag nr. L 96:
Forslag til lov om ændring af udlændingeloven. (Øget kontrol på udlændingeområdet).

1

Af udlændinge- og integrationsministeren (Inger Støjberg).
(Fremsættelse 15.11.2017. 1. behandling 28.11.2017. Betænkning
30.01.2018. 2. behandling 06.02.2018).
8) 3. behandling af lovforslag nr. L 82:
Forslag til lov om ændring af lov om erhvervsfaglig studentereksamen i forbindelse med erhvervsuddannelse (eux) m.v. (Indførelse af
erhvervsområde, erhvervsområdeprojekt, undervisningstid, fordybelsestid m.v.).
Af undervisningsministeren (Merete Riisager).
(Fremsættelse 09.11.2017. 1. behandling 01.12.2017. Betænkning
23.01.2018. 2. behandling 06.02.2018).
9) 3. behandling af lovforslag nr. L 85:
Forslag til lov om ændring af lov om vejledning om uddannelse og
erhverv samt pligt til uddannelse, beskæftigelse m.v. (Uddannelsesparathedsvurdering).
Af undervisningsministeren (Merete Riisager).
(Fremsættelse 09.11.2017. 1. behandling 01.12.2017. Betænkning
23.01.2018. 2. behandling 06.02.2018).
10) 2. behandling af lovforslag nr. L 118:
Forslag til lov om ændring af lov om politiets virksomhed. (Udvidet
bemyndigelse til at fastsætte regler om zoneforbud).
Af justitsministeren (Søren Pape Poulsen).
(Fremsættelse 13.12.2017. 1. behandling 16.01.2018. Betænkning
08.02.2018).
11) 2. behandling af lovforslag nr. L 124:
Forslag til lov om ændring af lov om sikkerhed til søs, søloven og
lov om Handelsflådens Velfærdsråd. (Sammenlægning af Handelsflådens Velfærdsråd og Søfartens Arbejdsmiljøråd og justering af
den årlige afgift for mindre erhvervsfartøjer).
Af erhvervsministeren (Brian Mikkelsen).
(Fremsættelse 10.01.2018. 1. behandling 16.01.2018. Betænkning
08.02.2018).
12) 1. behandling af lovforslag nr. L 135:
Forslag til lov om sikkerhed i net- og informationssystemer i transportsektoren.
Af transport-, bygnings- og boligministeren (Ole Birk Olesen).
(Fremsættelse 07.02.2018).
13) 1. behandling af lovforslag nr. L 136:
Forslag til lov om ændring af lov om trafikselskaber. (Individuel
handicapkørsel for blinde og stærkt svagsynede).
Af transport-, bygnings- og boligministeren (Ole Birk Olesen).
(Fremsættelse 07.02.2018).
14) 1. behandling af beslutningsforslag nr. B 31:
Forslag til folketingsbeslutning om, at borgere ikke må bære hovedbeklædning på deres kørekortfotografi af religiøse grunde.
Af Kim Christiansen (DF) m.fl.
(Fremsættelse 14.11.2017).

2

Tirsdag den 20. februar 2018 (FM )

15) 1. behandling af lovforslag nr. L 137:
Forslag til lov om ændring af lov om valg til Folketinget, lov om
kommunale og regionale valg og lov om kommunernes styrelse.
(Reform af valgbarhedsområdet).
Af økonomi- og indenrigsministeren (Simon Emil Ammitzbøll-Bille).
(Fremsættelse 07.02.2018).";kl. 10.00
4744;Time;;Kl. 10:00
4772;title_name;":
Mødet er åbnet.

Det første punkt på dagsordenen er:
1) HØJTIDELIGHED, I ANLEDNING AF AT H.K.H. PRINS
HENRIK ER AFGÅET VED DØDEN.";Pia Kjærsgaard
4913;Time;;Kl. 10:00
4941;title_name;":
Jeg giver ordet til statsministeren. Værsgo.";Pia Kjærsgaard
4997;Time;Mindetale;Kl. 10:00
5047;title_name;":
Fra Hendes Majestæt Dronningen har jeg modtaget følgende reskript:
»Vi giver Dem herved til kende, at vi vil have Dem overdraget i
Vort navn at bringe Folketinget budskabet om, at Vor højtelskede,
kære ægtefælle, Hans Kongelige Højhed Prins Henrik, stille er sovet
ind den 13. februar 2018 kl. 23.18.
Vi bringer dette budskab i fuld forvisning om Folketingets deltagelse i Vor og Vore Slægtninges tunge sorg.
Givet på Amalienborg, den 15. februar 2018.
Margrethe R«
Det er dronningens ord, som jeg hermed har overbragt Folketinget.
Vi deltager alle i dronningens og den kongelige families store sorg
ved prins Henriks død.
Dronning Margrethe har mistet sin indsigtsfulde og varme livsledsager igennem mere end et halvt århundrede, Danmark har mistet
en fornem og enestående repræsentant for vort land, og vi har alle
mistet et menneske, der ikke var bange for at sætte sig selv i spil.
Prins Henrik var sin egen. Sådan vil jeg huske ham, og sådan tror jeg
at alle danskere vil huske ham.
(Medlemmerne påhørte stående statsministerens oplæsning af dronningens budskab og statsministerens mindeord).";Lars Løkke Rasmussen
6156;Time;;Kl. 10:01
6184;title_name;":
Tak til statsministeren.
Det var med stor sorg, jeg modtog nyheden om, at Hans Kongelige
Højhed Prins Henrik sov stille ind på Fredensborg Slot den 13. februar.

En sand verdensmand er gået bort, og vi sørger alle over tabet af
det kærlige, generøse og åndrige menneske, han var, og hvis lige
man skal lede længe efter.
Prins Henrik blev født i 1934 i Frankrig, men tilbragte sine tidlige år i Fransk Indokina, hvor hans far drev industrivirksomhed. I
1952-1957 studerede han jura og statskundskab ved Sorbonne i Paris
samt kinesisk og vietnamesisk. Senere studerede han orientalske
sprog i Hongkong og Saigon.
Efter at have aftjent sin værnepligt i Algeriet i 1959-1962 gik
prins Henrik målrettet efter at gøre karriere i det franske udenrigsministerium. Han så især sig selv som brobygger til Asien og de asiatiske kulturer, som han var meget fascineret af. Det lykkedes ham at
blive ansat i Frankrigs udenrigsministerium i 1962 i ministeriets Asienafdeling. I 1963 blev han ambassadesekretær ved Frankrigs ambassade i London. Hans talent som diplomat lyste op, og efter blot 3
år i London stod han med udsigt til at blive Frankrigs yngste ambassadør nogensinde.
Men noget var sket i mellemtiden. Han havde mødt og forelsket
sig i Danmarks tronfølger, prinsesse Margrethe. Og som den klassiske romantiker, han var, var der ingen tvivl i hans sind: Han måtte
følge sit hjerte. Mange husker billederne fra første gang, han trådte
ud af et fly i Kastrup Lufthavn og gik ned ad trappen. Det var som at
se en smuk prins træde direkte ud af en eventyrbog.
Brylluppet i Holmens Kirke sommeren 1967 blev ikke kun begyndelsen på et livslangt ægteskab med den danske tronfølger og senere regent, dronning Margrethe. Det blev også begyndelsen på over
50 års engageret arbejde og virke for Danmark, både som en trofast
støtte og ledsager for sin hustru, men også selvstændigt i mange
sammenhænge. Selv efter at han officielt i en alder af 81 år trak sig
tilbage, blev han alligevel ved med at arbejde for Danmark.
Han favnede bredt, og hans lyst til at lære nyt og udvikle sine
mange talenter varede ved til det sidste. Hans nysgerrighed efter at
opleve verden, hans passion for kunsten og hans filosofiske tilgang
til livet gjorde ham til en skattet livsledsager, ven og samtalepartner.
I Danmark uddannede prinsen sig til pilot i flyvevåbenet. Han tog
privattimer på Kunstakademiet og gik i træning som sejlsportsmand.
Det danske sprog blev det sjette i rækken, som han kunne tale, ved
siden af fransk, spansk, kinesisk, vietnamesisk og engelsk.
I 1969 begyndte han at arbejde for Dansk Røde Kors. Han fik ansvaret for at koordinere det danske hjælpearbejde med det internationale hovedkvarter i Genève, og med det fik han mulighed for at bruge sine internationale og diplomatiske erfaringer. Det var ikke en
ærespost, det var et arbejde.
Det humanitære arbejde var ikke det eneste, prins Henrik føjede
en international dimension til. Som den store dyreven, han var, engagerede han sig aktivt i dyre- og naturbeskyttelse og blev præsident
for WWF Verdensnaturfonden i Danmark.
På samme måde var det med hans interesse for verdenskulturarven. Her lagde han i mange år et stort arbejde i den internationale
organisation Europa Nostra, som han var international præsident for
gennem 17 år.
Også de danske eksporterhverv blev et område, hvor prins Henrik
kunne se at han kunne gøre nytte for Danmark og åbne døre. Han har
deltaget i utallige danske handelsdelegationer. Når han ledsagede
dronning Margrethe på statsbesøg i udlandet og majestæten var hovedpersonen i det officielle program, var det ham, der stod i spidsen
for erhvervsprogrammet. Også her kom hans kulturforståelse og erfaring fra diplomatiet til sin ret. Især i Kina og Japan og andre asiatiske lande var der stor respekt omkring hans navn og deltagelse.";Pia Kjærsgaard
